Species,petalwidth,Petal.Size
setosa,0.1,small
setosa,0.2,small
setosa,0.3,small
setosa,0.4,large
setosa,0.5,large
setosa,0.6,large
versicolor,1,small
versicolor,1.1,small
versicolor,1.2,small
versicolor,1.3,medium
versicolor,1.4,medium
versicolor,1.5,medium
versicolor,1.6,large
versicolor,1.7,large
versicolor,1.8,large
virginica,1.4,small
virginica,1.5,small
virginica,1.6,small
virginica,1.7,small
virginica,1.8,medium
virginica,1.9,medium
virginica,2,medium
virginica,2.1,medium
virginica,2.2,large
virginica,2.3,large
virginica,2.4,large
virginica,2.5,large
