S,K,r,t,vol,Value
1868,1171.66,0.0195,0.5233,0.1521,708.2354
1544.3101,1461.75,0.0254,1.0658,0.19,186.6471
1275.21,1039.4,0.0168,0.5452,0.1822,248.9409
1214.76,1787.67,0.0181,0.3616,0.1848,0.0119
1602.8101,1921.25,0.0189,0.3699,0.1707,3.3652
1287.63,1163.63,0.0237,0.5808,0.1676,155.3484
1162.84,1354.87,0.0267,0.3616,0.2174,10.9624
1569.8,1393.0601,0.0192,1.274,0.1652,244.6867
1822.8101,1731.87,0.0228,1.2521,0.1598,206.8358
1218.79,1268.86,0.0268,1.474,0.1847,108.2107
1522.8,1349.0699,0.023,0.9644,0.1679,228.1009
1367.28,1946.89,0.0245,0.5616,0.1877,0.5758
1968.36,1987.13,0.0204,0.8,0.1456,108.632
1314.04,1018.74,0.0193,0.4822,0.1859,305.8367
1592.84,1297.71,0.0169,0.8658,0.183,325.2653
1249.97,1189.9399,0.0236,0.9452,0.1798,134.1092
1133.16,1030.59,0.0159,1.0219,0.1529,142.0622
1738.12,1219.9399,0.0235,0.7507,0.2057,541.2343
1412.4399,1881.75,0.0183,1.4849,0.1965,27.0556
1416.3,1529.99,0.0161,0.6548,0.2136,59.4235
1173.58,1493.91,0.0183,0.5945,0.1896,4.6897
1641.12,1635.24,0.0166,0.6356,0.1907,110.6149
1057.22,1890.5601,0.02,1.1397,0.1863,0.205
1042.23,1307.42,0.0233,1.2,0.2029,25.8608
1068.09,1374.95,0.0205,1.0247,0.1809,10.7474
1205.35,1124.0699,0.0175,0.9123,0.171,134.8793
1123.3199,1675.03,0.0122,1.3836,0.1837,4.4871
1953.13,1810.88,0.0205,0.4877,0.2,203.1323
1526.59,1865.91,0.0287,1.189,0.2038,48.1893
1942.22,1533.17,0.0233,0.3479,0.1826,422.1194
1461.75,1350.71,0.027,0.2356,0.1824,129.9358
1545.6801,1042.87,0.0188,1.337,0.1924,531.9061
1849.78,1931.45,0.0117,1.2521,0.1713,118.0552
1239.13,1337.21,0.0166,0.6301,0.1389,23.8744
1162.77,1750.9,0.0224,0.7945,0.1986,1.1764
1959.7,1235.38,0.0165,0.8603,0.2,742.2007
1038.6,1636.8199,0.0205,0.9479,0.1673,0.2424
1156.3,1029.41,0.0222,1.2082,0.2029,191.8212
1790.29,1129.8101,0.0271,0.6932,0.1795,681.5436
1500.0699,1115.52,0.0215,1.2301,0.1716,418.1375
1153.52,1225.97,0.0175,1.2493,0.1801,73.0944
1473.72,1262.1801,0.024,0.4685,0.1587,229.5679
1866.23,1615.6801,0.0246,1.4767,0.1634,341.3756
1308.5699,1921.15,0.023,1.2932,0.1821,5.7257
1923.98,1949.71,0.026,0.411,0.1375,64.236
1987.95,1737.73,0.022,0.3205,0.1836,269.8178
1604.88,1413.9,0.0277,0.3014,0.1887,209.3602
