Date,SPX,VIX,logVIX,logVIXprev,y,y_u,y_d,y_sqr,sig,sig_sqr,log_sig
2/1/2016,1939.38,19.98,2.994731773,3.005682604,-0.000443342,0,-0.000443342,1.97E-07,0.235632905,0.055522866,-1.445480172
2/2/2016,1903.03,21.98,3.090132949,2.994731773,-0.018920982,0,-0.018920982,0.000358004,0.238463416,0.056864801,-1.433539372
2/3/2016,1912.53,21.65,3.075005454,3.090132949,0.00497962,0.00497962,0,2.48E-05,0.239488671,0.057354823,-1.429249166
2/4/2016,1915.45,21.84,3.083743151,3.075005454,0.001525609,0.001525609,0,2.33E-06,0.23657174,0.055966188,-1.441503777
2/5/2016,1880.05,23.38,3.151880956,3.083743151,-0.01865421,0,-0.01865421,0.00034798,0.230657821,0.05320303,-1.466819961
2/8/2016,1853.44,26,3.258096538,3.151880956,-0.014255,0,-0.014255,0.000203205,0.232741781,0.054168737,-1.457825676
2/9/2016,1852.21,26.54,3.278653029,3.258096538,-0.000663851,0,-0.000663851,4.41E-07,0.232573227,0.054090306,-1.458550149
2/10/2016,1851.86,26.29,3.269188639,3.278653029,-0.000188981,0,-0.000188981,3.57E-08,0.22988641,0.052847762,-1.470169962
2/11/2016,1829.08,28.14,3.337192052,3.269188639,-0.012377431,0,-0.012377431,0.000153201,0.216969274,0.047075666,-1.52799953
2/12/2016,1864.78,25.4,3.234749174,3.337192052,0.019329975,0.019329975,0,0.000373648,0.220252021,0.048510953,-1.512982838
2/16/2016,1895.58,24.11,3.182626692,3.234749174,0.016381777,0.016381777,0,0.000268363,0.215187269,0.046305561,-1.536246611
2/17/2016,1926.82,22.31,3.105035008,3.182626692,0.016346115,0.016346115,0,0.000267195,0.222509298,0.049510388,-1.502786389
2/18/2016,1917.83,21.64,3.074543454,3.105035008,-0.004676637,0,-0.004676637,2.19E-05,0.218420449,0.047707492,-1.521333409
2/19/2016,1917.78,20.53,3.021887231,3.074543454,-2.61E-05,0,-2.61E-05,6.80E-10,0.218053532,0.047547343,-1.523014687
2/22/2016,1945.5,19.38,2.964241606,3.021887231,0.014350746,0.014350746,0,0.000205944,0.212378705,0.045104714,-1.549384254
2/23/2016,1921.27,20.98,3.043569603,2.964241606,-0.012532588,0,-0.012532588,0.000157066,0.209285124,0.043800263,-1.564057727
2/24/2016,1929.8,20.72,3.031099417,3.043569603,0.004429945,0.004429945,0,1.96E-05,0.204155785,0.041679584,-1.588871925
2/25/2016,1951.7,19.11,2.950211758,3.031099417,0.011284417,0.011284417,0,0.000127338,0.202624934,0.041056864,-1.596398625
2/26/2016,1948.05,19.81,2.986186861,2.950211758,-0.001871915,0,-0.001871915,3.50E-06,0.202522286,0.041015276,-1.596905344
2/29/2016,1932.23,20.55,3.022860941,2.986186861,-0.008154096,0,-0.008154096,6.65E-05,0.185712583,0.034489164,-1.683555053
3/1/2016,1978.35,17.7,2.87356464,3.022860941,0.023588388,0.023588388,0,0.000556412,0.203998054,0.041615206,-1.589644824
